transaction_amount,customer_age_days,number_previous_transactions,previous_success_count,previous_failure_count,historical_success_rate,payment_method,failure_reason,attempt_number,hours_since_failure,hour_of_day,day_of_week,customer_value_segment,previous_recovery_count,subscription_status,recovered
3543.19,461,7,5,2,0.7143,upi,insufficient_funds,3,20.56,20,1,ENTERPRISE,1,active,0
11522.52,828,8,7,1,0.875,card,insufficient_funds,2,8.8,21,0,STANDARD,4,none,1
11500.59,714,10,8,2,0.8,card,network_error,1,42.32,11,6,STANDARD,1,none,1
3937.75,1022,5,4,1,0.8,upi,insufficient_funds,1,29.31,10,4,PREMIUM,0,active,1
3516.02,641,6,6,0,1.0,card,insufficient_funds,3,36.82,14,5,STANDARD,0,none,1
4260.82,1119,10,10,0,1.0,card,network_error,3,12.34,17,6,STANDARD,1,none,1
5571.89,611,7,5,2,0.7143,card,network_error,3,118.89,4,2,PREMIUM,0,active,1
976.7,1424,9,8,1,0.8889,card,invalid_account,2,12.46,18,1,STANDARD,0,none,0
11820.42,418,7,5,2,0.7143,upi,network_error,2,89.76,4,0,STANDARD,2,none,1
8048.32,1749,17,13,4,0.7647,netbanking,bank_decline,1,29.41,14,4,PREMIUM,0,active,0
2940.89,1565,11,6,5,0.5455,netbanking,insufficient_funds,2,39.89,15,2,STANDARD,0,none,0
2111.84,1432,4,4,0,1.0,card,temporary_failure,1,48.51,13,1,STANDARD,4,none,1
1376.68,903,9,5,4,0.5556,card,fraud_suspected,2,50.42,5,3,STANDARD,1,none,0
5999.86,626,8,8,0,1.0,card,network_error,2,11.1,8,5,STANDARD,0,none,1
17697.37,1080,4,4,0,1.0,card,insufficient_funds,1,16.83,2,1,STANDARD,1,none,1
471.12,1306,9,8,1,0.8889,card,network_error,2,42.22,2,1,STANDARD,0,none,1
3629.75,1293,8,6,2,0.75,netbanking,insufficient_funds,2,38.16,22,4,STANDARD,0,none,0
920.69,1237,4,4,0,1.0,upi,bank_decline,3,13.7,2,0,STANDARD,0,none,1
2602.16,504,11,8,3,0.7273,card,invalid_account,2,49.63,15,6,STANDARD,2,none,0
2664.57,321,9,8,1,0.8889,card,bank_timeout,1,41.57,23,0,STANDARD,4,none,1
11901.58,822,9,8,1,0.8889,card,bank_decline,1,20.12,8,1,STANDARD,2,none,1
4409.88,1578,7,5,2,0.7143,upi,insufficient_funds,1,26.07,13,1,STANDARD,1,none,0
7214.13,58,4,4,0,1.0,card,insufficient_funds,1,52.71,0,5,STANDARD,1,none,1
2468.26,750,17,14,3,0.8235,upi,network_error,3,71.48,2,6,STANDARD,0,none,0
4712.49,1441,11,9,2,0.8182,wallet,insufficient_funds,1,13.2,7,1,PREMIUM,1,active,1
4438.94,456,15,12,3,0.8,card,invalid_account,2,35.27,12,5,STANDARD,4,none,0
19355.51,54,5,5,0,1.0,upi,temporary_failure,3,22.45,1,4,PREMIUM,0,active,1
3431.7,1664,9,7,2,0.7778,card,temporary_failure,2,36.73,22,1,STANDARD,0,none,1
4617.3,1139,9,6,3,0.6667,card,temporary_failure,1,22.25,14,1,STANDARD,1,none,1
9817.95,815,10,8,2,0.8,card,fraud_suspected,1,43.78,18,4,STANDARD,1,none,1
2157.65,492,10,7,3,0.7,card,temporary_failure,2,45.13,21,5,PREMIUM,1,active,0
1089.07,687,13,9,4,0.6923,netbanking,fraud_suspected,3,45.07,11,2,STANDARD,1,none,0
2735.4,624,8,4,4,0.5,card,fraud_suspected,3,22.29,20,4,PREMIUM,1,active,1
6442.28,1572,15,11,4,0.7333,upi,bank_decline,2,36.71,7,1,STANDARD,0,none,1
2894.36,898,6,6,0,1.0,card,bank_timeout,1,27.74,14,4,PREMIUM,2,active,1
4321.93,314,15,12,3,0.8,upi,insufficient_funds,2,30.48,8,0,STANDARD,0,none,0
2442.21,1092,7,6,1,0.8571,card,temporary_failure,3,17.51,2,6,STANDARD,2,none,1
3361.62,1558,2,2,0,1.0,upi,bank_timeout,1,120.96,11,6,STANDARD,2,none,1
1384.65,307,5,4,1,0.8,upi,bank_timeout,2,10.94,21,3,STANDARD,0,none,1
6784.72,433,9,5,4,0.5556,upi,network_error,2,13.24,11,0,STANDARD,1,none,0
6643.09,986,4,1,3,0.25,card,insufficient_funds,3,28.55,12,2,STANDARD,1,none,0
13892.08,290,5,2,3,0.4,netbanking,bank_timeout,2,29.26,16,4,PREMIUM,0,active,1
1585.05,804,8,8,0,1.0,card,bank_decline,2,29.38,9,0,STANDARD,0,none,0
19628.15,766,8,6,2,0.75,upi,fraud_suspected,3,54.39,13,0,STANDARD,0,none,0
2686.81,344,4,3,1,0.75,card,insufficient_funds,1,31.5,1,0,STANDARD,0,none,0
722.49,154,6,3,3,0.5,netbanking,temporary_failure,3,27.89,17,5,PREMIUM,0,active,1
9646.73,1671,8,6,2,0.75,card,temporary_failure,3,37.68,18,2,STANDARD,2,none,0
9711.85,1435,15,12,3,0.8,netbanking,bank_decline,1,18.32,10,3,STANDARD,1,none,1
2593.6,1583,6,6,0,1.0,upi,temporary_failure,3,24.55,23,5,STANDARD,0,none,1
1585.22,880,5,3,2,0.6,upi,temporary_failure,2,44.27,17,4,STANDARD,5,none,0
404.36,1721,8,8,0,1.0,upi,insufficient_funds,1,7.71,13,0,STANDARD,0,none,1
1210.49,1098,6,3,3,0.5,card,bank_decline,3,47.51,9,3,STANDARD,1,none,0
1863.76,730,10,8,2,0.8,upi,bank_decline,2,27.32,5,4,PREMIUM,1,active,1
6925.89,919,10,6,4,0.6,upi,temporary_failure,1,57.27,13,5,STANDARD,2,none,0
4839.01,1467,14,12,2,0.8571,netbanking,invalid_account,2,73.04,8,5,STANDARD,3,none,1
4325.45,549,7,7,0,1.0,netbanking,insufficient_funds,2,48.9,8,5,STANDARD,0,none,0
2602.35,868,10,9,1,0.9,upi,insufficient_funds,1,27.76,9,1,PREMIUM,2,active,1
3676.42,1705,10,9,1,0.9,card,bank_decline,1,78.96,3,4,STANDARD,1,none,1
6749.97,990,7,6,1,0.8571,netbanking,insufficient_funds,2,28.46,14,3,STANDARD,1,none,1
6033.59,998,12,9,3,0.75,netbanking,bank_decline,2,9.7,20,0,STANDARD,1,none,0
4837.98,1655,7,6,1,0.8571,netbanking,network_error,1,50.72,19,2,PREMIUM,1,active,1
8675.69,578,8,5,3,0.625,upi,temporary_failure,3,29.85,8,1,STANDARD,1,none,0
1390.4,1119,8,6,2,0.75,upi,network_error,2,70.24,0,1,STANDARD,0,none,0
1547.12,1139,11,10,1,0.9091,upi,insufficient_funds,3,44.38,13,3,STANDARD,1,none,1
7414.45,1599,9,6,3,0.6667,upi,bank_decline,2,28.0,11,6,STANDARD,0,none,0
2488.5,350,7,6,1,0.8571,card,fraud_suspected,1,45.82,16,6,STANDARD,1,none,0
2976.92,1226,10,8,2,0.8,netbanking,temporary_failure,2,37.31,20,3,STANDARD,2,none,1
2031.4,1302,11,9,2,0.8182,upi,insufficient_funds,2,25.7,23,3,STANDARD,1,none,1
2365.96,872,10,8,2,0.8,upi,invalid_account,2,131.2,16,5,STANDARD,2,none,0
2195.97,1571,8,7,1,0.875,upi,bank_decline,2,11.08,14,4,STANDARD,1,none,0
13705.25,1790,4,4,0,1.0,upi,insufficient_funds,3,9.95,16,4,PREMIUM,2,active,1
4104.06,1461,7,7,0,1.0,netbanking,temporary_failure,2,42.52,23,6,ENTERPRISE,2,active,1
5015.44,1168,8,7,1,0.875,netbanking,insufficient_funds,2,30.4,6,3,STANDARD,0,none,1
1091.98,127,11,9,2,0.8182,upi,network_error,3,34.83,7,3,ENTERPRISE,1,active,1
1926.0,1796,7,5,2,0.7143,upi,bank_timeout,3,36.93,9,4,STANDARD,0,none,0
1944.18,417,16,11,5,0.6875,upi,temporary_failure,1,46.14,13,3,PREMIUM,1,active,0
5324.26,410,13,9,4,0.6923,wallet,insufficient_funds,3,34.47,15,2,STANDARD,0,none,0
2005.01,1227,12,11,1,0.9167,upi,insufficient_funds,3,3.14,8,1,PREMIUM,2,active,0
5609.21,252,7,6,1,0.8571,upi,temporary_failure,1,53.08,22,3,STANDARD,0,none,1
948.18,455,13,7,6,0.5385,upi,temporary_failure,3,0.73,15,4,STANDARD,2,none,0
1600.62,346,9,9,0,1.0,card,bank_timeout,1,26.66,22,4,STANDARD,0,none,1
1059.74,415,7,6,1,0.8571,wallet,network_error,3,28.2,17,0,PREMIUM,0,active,1
3596.9,650,12,10,2,0.8333,card,network_error,2,14.99,7,5,STANDARD,0,none,0
1546.4,1510,14,12,2,0.8571,wallet,bank_decline,1,18.16,8,2,STANDARD,0,none,1
3129.39,1015,6,6,0,1.0,upi,temporary_failure,2,105.37,0,3,STANDARD,3,none,1
1111.66,1466,9,8,1,0.8889,upi,temporary_failure,1,62.41,16,4,PREMIUM,1,active,1
1007.73,1758,9,6,3,0.6667,wallet,insufficient_funds,1,19.0,6,6,STANDARD,1,none,1
2038.38,998,9,7,2,0.7778,card,bank_decline,1,50.5,20,4,STANDARD,0,none,1
13427.68,1148,12,11,1,0.9167,upi,insufficient_funds,3,21.71,9,3,STANDARD,1,none,0
1094.47,382,8,8,0,1.0,card,invalid_account,1,57.0,3,1,STANDARD,1,none,1
3005.41,1516,10,7,3,0.7,upi,bank_decline,3,68.74,6,6,STANDARD,1,none,1
5194.01,24,4,3,1,0.75,card,bank_timeout,3,58.49,6,2,STANDARD,1,none,0
4187.9,13,9,6,3,0.6667,card,network_error,2,59.05,21,1,STANDARD,1,none,0
1874.43,713,13,9,4,0.6923,netbanking,invalid_account,1,18.66,22,5,STANDARD,1,none,0
1580.39,617,7,6,1,0.8571,card,fraud_suspected,1,15.46,0,4,STANDARD,1,none,0
3755.29,1787,6,4,2,0.6667,card,insufficient_funds,2,75.33,18,3,PREMIUM,2,active,1
9053.39,83,10,9,1,0.9,upi,bank_decline,2,50.4,14,4,STANDARD,0,none,1
2611.67,169,12,7,5,0.5833,upi,bank_timeout,1,6.66,9,2,STANDARD,2,none,0
4822.09,1254,8,7,1,0.875,netbanking,insufficient_funds,1,10.19,21,4,PREMIUM,1,active,1
3568.73,411,7,6,1,0.8571,upi,insufficient_funds,3,29.58,23,3,STANDARD,0,none,0
13337.04,1636,4,1,3,0.25,netbanking,fraud_suspected,2,3.44,11,0,STANDARD,0,none,0
1522.82,1624,9,8,1,0.8889,upi,bank_timeout,3,23.64,4,5,STANDARD,0,none,0
8875.41,1215,5,5,0,1.0,card,insufficient_funds,1,83.73,12,3,STANDARD,2,none,1
1526.16,547,9,6,3,0.6667,netbanking,temporary_failure,3,16.04,16,2,STANDARD,0,none,1
2836.07,1784,9,7,2,0.7778,netbanking,invalid_account,3,56.59,16,6,PREMIUM,1,active,0
8947.17,635,13,8,5,0.6154,card,fraud_suspected,1,20.87,18,2,ENTERPRISE,0,active,0
7680.95,1420,11,10,1,0.9091,card,insufficient_funds,3,11.24,15,4,PREMIUM,0,active,1
1297.39,225,8,5,3,0.625,upi,bank_timeout,1,51.78,18,5,PREMIUM,2,active,1
3802.03,113,12,11,1,0.9167,netbanking,bank_decline,1,61.93,23,4,PREMIUM,0,active,0
9073.56,489,6,6,0,1.0,upi,temporary_failure,3,16.65,1,0,PREMIUM,0,active,1
5924.5,1095,8,7,1,0.875,upi,insufficient_funds,2,56.36,1,0,STANDARD,1,none,1
1429.2,643,10,8,2,0.8,card,network_error,3,10.53,15,1,PREMIUM,0,active,1
3024.02,39,4,3,1,0.75,card,temporary_failure,3,22.12,11,6,PREMIUM,1,active,1
5457.88,1517,4,4,0,1.0,upi,temporary_failure,1,52.86,4,3,STANDARD,1,none,1
3050.51,1462,8,8,0,1.0,upi,bank_decline,1,20.12,7,2,PREMIUM,0,active,1
1429.85,215,12,10,2,0.8333,card,insufficient_funds,3,2.16,18,6,PREMIUM,0,active,1
4155.48,1429,9,9,0,1.0,card,invalid_account,3,38.22,7,3,STANDARD,0,none,0
18919.1,262,9,6,3,0.6667,card,insufficient_funds,3,9.78,4,0,PREMIUM,0,active,1
3978.99,116,8,6,2,0.75,upi,temporary_failure,2,22.09,18,3,STANDARD,2,none,0
918.68,316,6,3,3,0.5,upi,bank_timeout,3,33.2,23,3,STANDARD,0,none,1
1321.89,171,11,10,1,0.9091,upi,network_error,2,20.11,15,5,STANDARD,2,none,1
8276.42,1244,10,7,3,0.7,upi,bank_timeout,3,60.38,23,3,PREMIUM,3,active,0
5457.95,576,7,5,2,0.7143,card,bank_timeout,2,13.75,16,5,STANDARD,4,none,1
5133.01,710,10,8,2,0.8,upi,temporary_failure,3,39.73,16,2,PREMIUM,1,active,1
5745.55,576,15,11,4,0.7333,card,insufficient_funds,1,57.59,4,5,STANDARD,0,none,0
14677.96,1799,10,9,1,0.9,upi,insufficient_funds,2,37.59,19,0,STANDARD,2,none,1
6310.5,1540,5,5,0,1.0,card,temporary_failure,2,38.25,15,5,STANDARD,0,none,1
3019.85,1352,9,7,2,0.7778,upi,temporary_failure,2,15.07,14,5,STANDARD,2,none,0
3189.64,706,4,2,2,0.5,upi,insufficient_funds,2,30.37,1,0,STANDARD,2,none,1
5319.58,1006,13,11,2,0.8462,netbanking,insufficient_funds,3,146.5,3,4,STANDARD,1,none,0
704.6,17,11,7,4,0.6364,upi,insufficient_funds,2,83.51,7,4,STANDARD,1,none,1
20552.78,762,9,8,1,0.8889,card,insufficient_funds,1,12.1,23,4,STANDARD,1,none,1
2964.04,382,10,8,2,0.8,upi,bank_decline,3,34.74,6,2,STANDARD,0,none,1
1587.91,1794,8,7,1,0.875,upi,bank_timeout,1,42.63,5,5,STANDARD,2,none,1
3694.62,388,12,9,3,0.75,wallet,bank_decline,3,15.08,14,3,PREMIUM,2,active,1
2347.36,552,14,10,4,0.7143,card,temporary_failure,2,25.06,13,2,STANDARD,3,none,1
19470.72,77,10,7,3,0.7,upi,temporary_failure,1,35.49,20,4,PREMIUM,1,active,0
3932.57,1503,8,7,1,0.875,wallet,temporary_failure,1,38.35,7,4,STANDARD,3,none,1
4908.31,1444,5,4,1,0.8,netbanking,bank_decline,3,48.6,2,5,STANDARD,1,none,0
6972.83,740,10,9,1,0.9,card,invalid_account,1,27.72,16,6,STANDARD,1,none,1
2351.47,1112,7,6,1,0.8571,card,temporary_failure,3,1.11,13,0,STANDARD,2,none,1
3557.31,1794,6,5,1,0.8333,card,bank_timeout,1,14.33,15,3,STANDARD,3,none,1
4796.92,492,15,12,3,0.8,wallet,insufficient_funds,3,19.83,20,6,STANDARD,1,none,0
5999.74,442,9,7,2,0.7778,upi,invalid_account,2,38.99,23,5,STANDARD,1,none,0
1480.89,1787,14,12,2,0.8571,card,temporary_failure,3,21.33,16,6,PREMIUM,1,active,1
2050.51,801,6,4,2,0.6667,netbanking,insufficient_funds,2,43.59,6,0,PREMIUM,1,active,0
368.76,1647,10,7,3,0.7,card,bank_decline,1,75.77,19,1,STANDARD,0,none,1
2304.37,738,11,8,3,0.7273,card,temporary_failure,3,11.41,11,5,STANDARD,2,none,0
4431.1,396,5,5,0,1.0,upi,temporary_failure,3,47.85,15,2,PREMIUM,1,active,1
8734.91,817,7,6,1,0.8571,card,temporary_failure,2,62.86,7,6,STANDARD,1,none,0
6549.88,259,8,6,2,0.75,upi,bank_decline,3,55.95,13,2,PREMIUM,2,active,0
1968.82,58,13,10,3,0.7692,wallet,network_error,2,65.32,14,2,STANDARD,1,none,1
2706.5,532,12,8,4,0.6667,wallet,temporary_failure,1,25.19,1,1,STANDARD,1,none,1
7690.49,518,7,5,2,0.7143,upi,temporary_failure,3,8.66,3,4,STANDARD,1,none,0
2848.67,645,11,6,5,0.5455,card,insufficient_funds,1,15.08,3,3,STANDARD,1,none,0
3120.91,1733,11,9,2,0.8182,upi,insufficient_funds,1,55.85,8,0,STANDARD,1,none,1
11149.41,766,13,11,2,0.8462,card,network_error,1,9.92,11,6,STANDARD,2,none,1
7248.79,1222,11,10,1,0.9091,wallet,invalid_account,2,1.56,0,3,STANDARD,5,none,1
1714.97,190,14,12,2,0.8571,upi,temporary_failure,2,21.17,9,0,PREMIUM,0,active,1
2383.44,657,13,10,3,0.7692,upi,network_error,3,40.07,20,4,STANDARD,2,none,0
15374.58,863,7,5,2,0.7143,card,insufficient_funds,3,17.04,16,2,PREMIUM,0,active,0
5123.73,1316,5,4,1,0.8,upi,fraud_suspected,3,49.88,11,2,ENTERPRISE,0,active,0
10693.58,382,9,9,0,1.0,card,invalid_account,1,28.71,1,0,STANDARD,0,none,0
1498.24,202,11,8,3,0.7273,netbanking,bank_decline,1,22.21,17,3,STANDARD,1,none,1
5662.2,557,11,10,1,0.9091,card,bank_timeout,1,104.28,0,6,PREMIUM,1,active,1
6486.69,596,5,3,2,0.6,upi,bank_timeout,3,8.83,21,3,STANDARD,2,none,0
10438.38,1515,12,9,3,0.75,upi,bank_decline,3,42.7,0,6,STANDARD,3,none,0
10879.67,993,9,7,2,0.7778,upi,insufficient_funds,3,12.55,9,3,STANDARD,0,none,1
2746.6,1408,7,7,0,1.0,netbanking,bank_timeout,2,205.91,5,4,STANDARD,0,none,0
4957.2,1658,12,9,3,0.75,card,invalid_account,1,54.41,15,2,STANDARD,0,none,0
3187.71,738,7,6,1,0.8571,card,bank_decline,2,12.78,1,2,PREMIUM,1,active,1
6566.33,38,8,6,2,0.75,card,fraud_suspected,3,49.25,5,3,STANDARD,0,none,0
1132.41,1703,12,9,3,0.75,wallet,bank_timeout,2,33.2,8,0,STANDARD,2,none,1
776.64,1091,9,8,1,0.8889,wallet,temporary_failure,3,29.33,23,0,STANDARD,4,none,1
4835.94,641,1,1,0,1.0,card,temporary_failure,1,42.73,5,0,STANDARD,2,none,1
3795.65,1708,5,5,0,1.0,upi,insufficient_funds,3,28.11,18,0,STANDARD,0,none,1
4786.07,1672,9,9,0,1.0,card,temporary_failure,2,25.36,6,5,ENTERPRISE,0,active,1
2940.62,1096,12,10,2,0.8333,card,bank_decline,1,9.56,19,0,STANDARD,2,none,0
9310.74,1795,14,13,1,0.9286,card,fraud_suspected,3,7.65,0,6,PREMIUM,4,active,0
5831.72,580,9,8,1,0.8889,upi,temporary_failure,3,46.47,12,3,STANDARD,1,none,1
2598.68,1766,7,6,1,0.8571,netbanking,invalid_account,3,22.69,14,1,STANDARD,1,none,0
3397.56,1779,4,4,0,1.0,upi,network_error,2,23.39,19,5,STANDARD,4,none,1
855.39,257,6,2,4,0.3333,upi,insufficient_funds,2,6.54,7,2,STANDARD,5,none,0
24936.31,1738,10,6,4,0.6,card,network_error,1,19.89,20,5,PREMIUM,2,active,0
3081.95,72,6,4,2,0.6667,card,network_error,1,14.66,7,1,STANDARD,2,none,1
6314.03,788,11,8,3,0.7273,netbanking,bank_decline,2,33.11,11,1,ENTERPRISE,0,active,0
4770.19,775,7,5,2,0.7143,netbanking,network_error,3,68.22,5,3,STANDARD,1,none,0
3739.08,388,10,9,1,0.9,upi,bank_decline,3,23.59,15,3,PREMIUM,1,active,0
4496.1,807,5,4,1,0.8,card,network_error,1,78.69,0,6,PREMIUM,2,active,1
629.39,1188,8,7,1,0.875,upi,network_error,2,34.65,5,4,STANDARD,0,none,1
6573.04,1615,14,11,3,0.7857,netbanking,bank_decline,3,80.79,21,3,STANDARD,0,none,1
2528.18,198,10,9,1,0.9,upi,network_error,2,76.64,4,4,STANDARD,1,none,1
6899.01,852,13,7,6,0.5385,netbanking,temporary_failure,1,12.81,12,2,STANDARD,0,none,1
6375.05,1554,9,8,1,0.8889,card,network_error,3,56.22,17,3,STANDARD,1,none,0
3541.82,1158,9,6,3,0.6667,card,bank_decline,2,33.38,9,2,PREMIUM,3,active,1
10273.16,398,9,9,0,1.0,netbanking,insufficient_funds,1,16.68,13,2,PREMIUM,1,active,0
18070.92,59,7,4,3,0.5714,upi,bank_timeout,1,49.15,1,2,STANDARD,0,none,1
1945.81,1289,7,4,3,0.5714,card,insufficient_funds,1,105.62,7,1,PREMIUM,3,active,1
2466.33,357,9,4,5,0.4444,upi,temporary_failure,2,14.06,15,1,PREMIUM,0,active,0
854.04,341,9,7,2,0.7778,netbanking,network_error,3,3.72,5,4,ENTERPRISE,0,active,1
3578.41,1709,6,6,0,1.0,upi,temporary_failure,1,12.26,17,3,STANDARD,0,none,1
4936.3,1161,11,9,2,0.8182,upi,network_error,2,32.78,22,6,STANDARD,2,none,0
1888.71,1258,7,3,4,0.4286,upi,network_error,1,86.32,7,5,STANDARD,1,none,1
3165.17,620,8,7,1,0.875,netbanking,bank_timeout,1,3.53,5,0,ENTERPRISE,0,active,1
20286.26,1254,9,8,1,0.8889,upi,insufficient_funds,2,16.72,8,5,STANDARD,3,none,1
5000.74,826,13,9,4,0.6923,upi,insufficient_funds,2,82.97,1,0,STANDARD,4,none,0
3510.93,49,7,4,3,0.5714,card,bank_decline,3,18.04,0,6,STANDARD,0,none,0
5235.17,245,12,9,3,0.75,card,network_error,3,46.78,18,5,STANDARD,0,none,1
5092.42,190,5,4,1,0.8,card,temporary_failure,3,21.18,12,4,STANDARD,0,none,0
695.06,1244,12,10,2,0.8333,upi,insufficient_funds,2,6.42,2,2,ENTERPRISE,1,active,0
3329.42,1307,7,4,3,0.5714,card,temporary_failure,2,32.8,10,5,STANDARD,1,none,1
2668.41,59,5,4,1,0.8,card,temporary_failure,3,9.73,21,4,STANDARD,3,none,1
10829.13,294,5,3,2,0.6,upi,bank_decline,2,40.56,16,2,STANDARD,0,none,1
2973.4,1214,5,5,0,1.0,netbanking,bank_decline,2,71.31,13,1,PREMIUM,1,active,0
15291.4,1792,15,14,1,0.9333,upi,temporary_failure,2,140.77,2,3,STANDARD,2,none,1
7825.75,871,8,6,2,0.75,wallet,network_error,3,35.49,0,0,STANDARD,0,none,0
11910.8,484,9,7,2,0.7778,upi,bank_timeout,1,12.92,20,6,STANDARD,0,none,1
2070.75,174,11,8,3,0.7273,upi,bank_timeout,3,69.49,4,0,PREMIUM,1,active,0
4367.85,1542,9,6,3,0.6667,upi,invalid_account,1,45.68,17,5,PREMIUM,1,active,0
18678.15,1799,9,9,0,1.0,upi,network_error,3,36.47,14,2,STANDARD,1,none,1
1099.7,513,11,7,4,0.6364,upi,fraud_suspected,3,45.95,20,2,PREMIUM,3,active,0
6226.39,538,7,6,1,0.8571,card,network_error,1,123.15,18,2,PREMIUM,2,active,0
9712.69,964,9,8,1,0.8889,card,temporary_failure,1,59.38,17,1,STANDARD,3,none,1
